SaleID,price
150000,35782
150001,333
150002,6202
150003,11890
150004,636
150005,1748
150006,4551
150007,9600
150008,2504
150009,2167
150010,1215
150011,6538
150012,2378
150013,11809
150014,12364
150015,376
150016,574
150017,5940
150018,10315
150019,1339
150020,5116
150021,13604
150022,1447
150023,14887
150024,1604
150025,6224
150026,1392
150027,3885
150028,22441
150029,15623
150030,1472
150031,248
150032,3913
150033,2662
150034,3193
150035,7607
150036,1066
150037,3786
150038,25360
150039,1644
150040,14875
150041,4543
150042,16123
150043,26000
150044,6179
150045,2085
150046,2823
150047,45436
150048,1240
150049,35710
150050,5371
150051,9675
150052,922
150053,450
150054,14610
150055,4230
150056,925
150057,2553
150058,1143
150059,2160
150060,9029
150061,3179
150062,994
150063,11259
150064,20057
150065,9554
150066,12909
150067,3668
150068,840
150069,2718
150070,1794
150071,604
150072,952
150073,22248
150074,264
150075,1140
150076,1825
150077,5571
150078,2557
150079,2976
150080,2732
150081,8807
150082,14981
150083,463
150084,3911
150085,3545
150086,37948
150087,341
150088,2868
150089,3036
150090,875
150091,6917
150092,5694
150093,875
150094,11052
150095,150
150096,14022
150097,8556
150098,482
150099,380
150100,507
150101,4204
150102,1404
150103,2686
150104,4067
150105,985
150106,1983
150107,663
150108,7465
150109,2063
150110,2785
150111,11249
150112,10463
150113,1640
150114,917
150115,2468
150116,6329
150117,2966
150118,21933
150119,9946
150120,14802
150121,1565
150122,7773
150123,54
150124,14177
150125,4357
150126,2193
150127,14802
150128,35666
150129,2899
150130,3246
150131,915
150132,3924
150133,5919
150134,15601
150135,1276
150136,1473
150137,3133
150138,6481
150139,980
150140,1330
150141,2086
150142,9002
150143,5747
150144,813
150145,2040
150146,6947
150147,1591
150148,2388
150149,688
150150,3573
150151,7409
150152,723
150153,860
150154,19615
150155,2884
150156,345
150157,5219
150158,1384
150159,9797
150160,43788
150161,945
150162,797
150163,767
150164,4940
150165,3578
150166,6670
150167,2545
150168,4548
150169,2233
150170,3147
150171,3958
150172,1915
150173,6472
150174,3088
150175,658
150176,22339
150177,215
150178,1284
150179,3692
150180,800
150181,1463
150182,5523
150183,982
150184,734
150185,9060
150186,2559
150187,17539
150188,2743
150189,4963
150190,5579
150191,102
150192,1783
150193,3805
150194,15585
150195,785
150196,17653
150197,3323
150198,3676
150199,3119
150200,2321
150201,10346
150202,1940
150203,437
150204,3706
150205,1092
150206,12660
150207,1249
150208,1298
150209,1818
150210,6084
150211,10546
150212,9956
150213,1080
150214,4382
150215,128
150216,23954
150217,2447
150218,11037
150219,10472
150220,2598
150221,8801
150222,870
150223,3848
150224,627
150225,814
150226,4932
150227,698
150228,815
150229,843
150230,5303
150231,702
150232,8621
150233,1690
150234,901
150235,3086
150236,725
150237,1242
150238,433
150239,1339
150240,7929
150241,1624
150242,7458
150243,2638
150244,305
150245,2296
150246,2008
150247,2677
150248,814
150249,2069
150250,865
150251,870
150252,16679
150253,1303
150254,4260
150255,9963
150256,417
150257,6913
150258,8664
150259,1832
150260,9283
150261,2230
150262,674
150263,4500
150264,848
150265,1551
150266,493
150267,5204
150268,1388
150269,6489
150270,1062
150271,4294
150272,27386
150273,24126
150274,694
150275,83
150276,2142
150277,11797
150278,36196
150279,7519
150280,3454
150281,975
150282,694
150283,23384
150284,4264
150285,8092
150286,17500
150287,800
150288,1788
150289,385
150290,5323
150291,21487
150292,8859
150293,3191
150294,13668
150295,956
150296,9703
150297,395
150298,3215
150299,202
150300,4202
150301,28920
150302,739
150303,3736
150304,940
150305,2266
150306,4497
150307,12784
150308,1394
150309,1548
150310,894
150311,10609
150312,8131
150313,7121
150314,456
150315,1438
150316,18080
150317,16899
150318,4568
150319,17790
150320,3717
150321,2177
150322,4221
150323,9466
150324,1023
150325,1377
150326,485
150327,351
150328,2279
150329,7405
150330,9559
150331,219
150332,48546
150333,2792
150334,201
150335,10122
150336,718
150337,3544
150338,13189
150339,2600
150340,11142
150341,5810
150342,2443
150343,2585
150344,3348
150345,14147
150346,3780
150347,7529
150348,2485
150349,951
150350,1827
150351,19774
150352,12387
150353,947
150354,2457
150355,13303
150356,1945
150357,717
150358,13911
150359,6198
150360,3983
150361,1603
150362,2338
150363,20640
150364,923
150365,11571
150366,6054
150367,27718
150368,1874
150369,1325
150370,829
150371,10789
150372,1890
150373,4749
150374,3497
150375,2442
150376,851
150377,6790
150378,11105
150379,2725
150380,4361
150381,5524
150382,12656
150383,3564
150384,3465
150385,1571
150386,5308
150387,6761
150388,5414
150389,554
150390,104
150391,1264
150392,1305
150393,1891
150394,1685
150395,2315
150396,2116
150397,6397
150398,17869
150399,652
150400,8406
150401,7229
150402,1110
150403,811
150404,6644
150405,6375
150406,4664
150407,2048
150408,9601
150409,16851
150410,10188
150411,3955
150412,2959
150413,4916
150414,13369
150415,10249
150416,16157
150417,1625
150418,2123
150419,943
150420,8914
150421,4824
150422,19111
150423,803
150424,7673
150425,3249
150426,8189
150427,488
150428,13356
150429,5759
150430,2637
150431,1540
150432,653
150433,9946
150434,1716
150435,42766
150436,687
150437,619
150438,1802
150439,1214
150440,1511
150441,419
150442,3385
150443,3077
150444,13144
150445,18137
150446,11526
150447,119
150448,13511
150449,23352
150450,5792
150451,1239
150452,4570
150453,9568
150454,6911
150455,7196
150456,17397
150457,1428
150458,9749
150459,10359
150460,3376
150461,1547
150462,8206
150463,3699
150464,6797
150465,11383
150466,1903
150467,12918
150468,4135
150469,4502
150470,1888
150471,3894
150472,11778
150473,3453
150474,1315
150475,738
150476,915
150477,5087
150478,686
150479,1383
150480,4628
150481,1509
150482,1048
150483,2505
150484,1950
150485,1500
150486,921
150487,1237
150488,1003
150489,989
150490,8441
150491,10461
150492,4753
150493,4439
150494,14681
150495,8454
150496,2136
150497,3548
150498,60099
150499,10599
150500,3471
150501,10521
150502,8568
150503,14781
150504,2350
150505,4271
150506,2537
150507,1750
150508,1237
150509,8533
150510,3925
150511,2140
150512,6705
150513,987
150514,639
150515,1991
150516,904
150517,766
150518,1713
150519,3704
150520,5668
150521,9160
150522,16387
150523,21587
150524,2832
150525,13164
150526,693
150527,1073
150528,8030
150529,2826
150530,7716
150531,6212
150532,6870
150533,1461
150534,13953
150535,13106
150536,5723
150537,529
150538,2180
150539,11126
150540,14288
150541,8370
150542,1341
150543,11167
150544,7235
150545,874
150546,4247
150547,1909
150548,2023
150549,970
150550,3298
150551,29631
150552,6779
150553,1883
150554,8454
150555,4034
150556,20913
150557,5439
150558,2706
150559,5308
150560,2695
150561,2641
150562,1046
150563,7815
150564,14283
150565,1933
150566,3637
150567,1085
150568,954
150569,7699
150570,1282
150571,13525
150572,1608
150573,9767
150574,11629
150575,673
150576,1467
150577,492
150578,14077
150579,240
150580,4138
150581,25579
150582,4505
150583,1964
150584,11102
150585,318
150586,12304
150587,3878
150588,563
150589,5499
150590,12206
150591,11914
150592,1489
150593,14479
150594,1890
150595,22993
150596,1564
150597,6625
150598,5176
150599,754
150600,8767
150601,1431
150602,19301
150603,10269
150604,2298
150605,2083
150606,4857
150607,4489
150608,1274
150609,941
150610,1553
150611,1830
150612,7980
150613,902
150614,29544
